"ID","Applicable?","FULL_NAME","HYPERLINK_SS","NAME","Organization","Impact","Area","Status","In Effect","Organization Type","Applicable GT","Base Year","Hyperlink 1","Hyperlink 2","Contact Email","Contact Phone","GT aaplicable","Ship Type applicable","Ship_Main_Type_Applicable","Ship_Main_Type_Exempt","All","RORO_SHIPS","CONTAINER_SHIP","DREDGING","GENERAL_CARGO","CRUISE_PASSENGER_SHIP","TANKER","GAS_CARRIER","PORT_AND_TUGS","REFRIGERATED_CARGO_CARRIER","PASSENGER_SHIP","OFFSHORE","MISCELLANEOUS","FISHING","LNG_CARRIER","BULK_CARRIER","COMBINATION_CARRIER","INLAND_WATERWAYS"
"2022090634","FALSE","RED (Renewable Energy Directive)","https://www.sustainable-ships.org/rules-regulations/red","RED","EU","Strict requirement for fuel producers","Europe","Active","2021","Government","0","","","","","","TRUE","FALSE","RORO_SHIPS,CONTAINER_SHIP,DREDGING,GENERAL_CARGO,CRUISE_PASSENGER_SHIP,TANKER,GAS_CARRIER,PORT_AND_TUGS,REFRIGERATED_CARGO_CARRIER,PASSENGER_SHIP,OFFSHORE,MISCELLANEOUS,FISHING,LNG_CARRIER,BULK_CARRIER,COMBINATION_CARRIER,INLAND_WATERWAYS","","1","","","","","","","","","","","","","","","","",""
"2022090637","FALSE","PAS (Programma Aanpak Stikstof)","https://www.sustainable-ships.org/rules-regulations/pas","PAS","Netherlands","-80% NOx","Europe","Active","2021","Government","0","","","","","","TRUE","FALSE","RORO_SHIPS,CONTAINER_SHIP,DREDGING,GENERAL_CARGO,CRUISE_PASSENGER_SHIP,TANKER,GAS_CARRIER,PORT_AND_TUGS,REFRIGERATED_CARGO_CARRIER,PASSENGER_SHIP,OFFSHORE,MISCELLANEOUS,FISHING,LNG_CARRIER,BULK_CARRIER,COMBINATION_CARRIER,INLAND_WATERWAYS","","1","","","","","","","","","","","","","","","","",""
"2022090639","FALSE","HBE (Herniewbare Brandstof Eenheden)","https://www.sustainable-ships.org/rules-regulations/hbe","HBE","Netherlands","Get € 0.04-0.20 kWh","Europe","Active","2015","Government","0","","","","","","TRUE","FALSE","RORO_SHIPS,CONTAINER_SHIP,DREDGING,GENERAL_CARGO,CRUISE_PASSENGER_SHIP,TANKER,GAS_CARRIER,PORT_AND_TUGS,REFRIGERATED_CARGO_CARRIER,PASSENGER_SHIP,OFFSHORE,MISCELLANEOUS,FISHING,LNG_CARRIER,BULK_CARRIER,COMBINATION_CARRIER,INLAND_WATERWAYS","","1","","","","","","","","","","","","","","","","",""
"2022090601","FALSE","CII ","https://www.sustainable-ships.org/rules-regulations/cii","CII ","IMO","#NAME?","Global","Active","2023","IMO","5,000","2019","https://www.google.com/search?client=safari&rls=en&q=MEPC.336(76&ie=UTF-8&oe=UTF-8","","","","TRUE","FALSE","RORO_SHIPS,CONTAINER_SHIP,DREDGING,GENERAL_CARGO,CRUISE_PASSENGER_SHIP,TANKER,GAS_CARRIER,PORT_AND_TUGS,REFRIGERATED_CARGO_CARRIER,OFFSHORE,","","","1","1","1","1","1","1","1","1","1","","1","","","","","",""
"2022090618","FALSE","SEEMP Part III","https://www.sustainable-ships.org/rules-regulations/seemp-3","SEEMP Part III","IMO","SEEMP III required","Global","Active","2023","IMO","5,000","","https://www.classnk.com/hp/pdf/activities/statutory/seemp/seemp-mepc78-346.pdf","","","","TRUE","FALSE","RORO_SHIPS,CONTAINER_SHIP,DREDGING,GENERAL_CARGO,TANKER,","","","1","1","1","1","","1","","","","","","","","","","",""
"2022090640","FALSE","UK ETS","https://www.sustainable-ships.org/rules-regulations/uk-ets","UK ETS","UK","10-year ETS savings are estimated at £ 0 M","Europe","Confirmed","2023","Government","400","","","","","","TRUE","FALSE","RORO_SHIPS,CONTAINER_SHIP,DREDGING,GENERAL_CARGO,CRUISE_PASSENGER_SHIP,TANKER,GAS_CARRIER,PORT_AND_TUGS,REFRIGERATED_CARGO_CARRIER,PASSENGER_SHIP,OFFSHORE,MISCELLANEOUS,FISHING,LNG_CARRIER,BULK_CARRIER,COMBINATION_CARRIER,INLAND_WATERWAYS","","1","1","1","1","1","1","1","","1","","","","","","","","",""
"2022090630","FALSE","EU ETS","https://www.sustainable-ships.org/rules-regulations/eu-ets","EU ETS","EU","10-year ETS savings are estimated at € 0 M","Europe","Confirmed","2024","Government","400","","","","","","TRUE","FALSE","RORO_SHIPS,CONTAINER_SHIP,DREDGING,GENERAL_CARGO,CRUISE_PASSENGER_SHIP,TANKER,GAS_CARRIER,PORT_AND_TUGS,REFRIGERATED_CARGO_CARRIER,PASSENGER_SHIP,OFFSHORE,MISCELLANEOUS,FISHING,LNG_CARRIER,BULK_CARRIER,COMBINATION_CARRIER,INLAND_WATERWAYS","","1","1","1","1","1","1","1","","1","","","","","","","","",""
"2022090632","TRUE","FuelEU Maritime","https://www.sustainable-ships.org/rules-regulations/fueleu","FuelEU Maritime","EU","Penalty for 2030 estimated at € 0k per year","Europe","Confirmed","2025","Government","400","2020","https://www.europarl.europa.eu/legislative-train/theme-a-european-green-deal/file-fuel-eu-maritime","","","","TRUE","FALSE","RORO_SHIPS,CONTAINER_SHIP,DREDGING,GENERAL_CARGO,CRUISE_PASSENGER_SHIP,TANKER,GAS_CARRIER,PORT_AND_TUGS,REFRIGERATED_CARGO_CARRIER,OFFSHORE,MISCELLANEOUS,FISHING,LNG_CARRIER,COMBINATION_CARRIER,INLAND_WATERWAYS,","","","1","1","1","1","1","1","1","1","1","","1","1","1","1","","1","1"
"2022090633","FALSE","Alternative Fuels Infrastructure Regulation","https://www.sustainable-ships.org/rules-regulations/afir","AFIR","EU","Shore power required","Europe","Confirmed","2025","Government","5,000","","","","","","TRUE","FALSE","RORO_SHIPS,CONTAINER_SHIP,DREDGING,GENERAL_CARGO,CRUISE_PASSENGER_SHIP,TANKER,REFRIGERATED_CARGO_CARRIER,","","","1","1","1","1","1","1","","","1","","","","","","","",""
"2022101102","FALSE","Ocean-Going Vessels at Berth Regulation","https://www.sustainable-ships.org/rules-regulations/ogvb","OGVBR","US, California","Shore power required","North-Americas","Confirmed","2025","Government","0","","https://ww2.arb.ca.gov/news/california-approves-updated-berth-regulation-expanding-efforts-cut-pollution-ships-california","","karen.caesar@arb.ca.gov","(951) 824-6545","TRUE","FALSE","RORO_SHIPS,CONTAINER_SHIP,DREDGING,GENERAL_CARGO,CRUISE_PASSENGER_SHIP,TANKER,REFRIGERATED_CARGO_CARRIER,","","","1","1","1","1","1","1","","","1","","","","","","","",""
